run_id,tx_hash,submitted_at,mined_at,latency_ms,status,gas_used,gas_price_wei,block_number,function_name
run-097,0x7cb9ca2a18eefc03e7ed392481a5e9e84c2c7108495193c05cb238bdac3275c2,2025-06-29T22:58:01+00:00,2025-06-29T22:58:01.877300+00:00,877.3,success,103743,38000000000,111945,claimRewards
run-097,0xd10433432c80f64e7be48677330ebc4e6a9e41f76e7b9e9629bb56b1a152f628,2025-06-29T23:03:40+00:00,2025-06-29T23:03:40.633900+00:00,633.9,failed,41363,19000000000,118291,claimRewards
run-097,0xa7561b1e55f0c04c649fe55065179467c12d1edec6288a6bcb72d57d881c5515,2025-06-29T22:56:51+00:00,2025-06-29T22:56:51.562000+00:00,562.0,success,34446,42000000000,106239,claimRewards
run-097,0x4de479ac309e265f6abf71bcbc8c07ec020fb9a591b8ddda1e42e9f0038275d1,2025-06-29T23:00:26+00:00,2025-06-29T23:00:26.865200+00:00,865.2,success,64427,46000000000,107332,claimRewards
run-097,0xa29397c18f7460534c32d9948ca8902f6d7eeabe2d2cef1cbc689facff0bc794,2025-06-29T23:03:10+00:00,2025-06-29T23:03:10.944600+00:00,944.6,success,56857,31000000000,107536,claimRewards
run-097,0x0b2ee44ce089038bfa2f39891d213698ed517159e0ef506de09650abbc136f03,2025-06-29T22:58:28+00:00,2025-06-29T22:58:29.258500+00:00,1258.5,failed,68388,52000000000,113859,claimRewards
run-097,0xaf6f792e6c4ec022cfa2d730f8d508d7cffcac5b374d64db7efcf365516f410a,2025-06-29T23:03:32+00:00,2025-06-29T23:03:32.693700+00:00,693.7,success,116133,52000000000,116148,claimRewards
run-097,0x35c068b08c195683436e23b8ed6c86344de4e5ce3efc32f4a23e016f6fe1c0df,2025-06-29T23:01:31+00:00,2025-06-29T23:01:31.911100+00:00,911.1,success,44380,44000000000,114889,claimRewards
run-097,0x994612a5c5abe94b2ea532a5c8c475d3793b4f284bb502e25fbd6cbcf724806e,2025-06-29T23:03:38+00:00,2025-06-29T23:03:38.317000+00:00,317.0,success,39914,23000000000,106948,claimRewards
run-097,0x4503c1e79e9b5878474f159be9e176e41edb742bd1f26db9a720c91fa96a04f6,2025-06-29T22:56:37+00:00,2025-06-29T22:56:38.378700+00:00,1378.7,success,116668,26000000000,103975,claimRewards
run-097,0x0f2bf74dc90af628fb3f8a758e23ba662c3aa535c342d9aac81ff030fe696521,2025-06-29T22:58:59+00:00,2025-06-29T22:59:00.114500+00:00,1114.5,success,134665,24000000000,117319,claimRewards
run-097,0xdde8f380e81bb1ad1a6af4c3e83157b661d2ff3633d4742e67554cc4d5aefbaa,2025-06-29T23:03:23+00:00,2025-06-29T23:03:23.925700+00:00,925.7,success,26131,27000000000,101776,claimRewards
run-097,0xbc4c2c77ffaceb77552578d611a72283d71ff9795e1dce2ef0f3e8d0352ce38e,2025-06-29T23:00:54+00:00,2025-06-29T23:00:55.344300+00:00,1344.3,success,81028,43000000000,115706,claimRewards
run-097,0x4939abedefe0192e2eb7b552180be6b2bbf678bb343bdcd25a3b15cfe904b2bd,2025-06-29T22:58:24+00:00,2025-06-29T22:58:24.924000+00:00,924.0,failed,129700,28000000000,111546,claimRewards
run-097,0x81e54916c599fbd7ef3f1f64e71c5aba47cf73f129019d2aab3229271468b017,2025-06-29T23:00:04+00:00,2025-06-29T23:00:05.079400+00:00,1079.4,success,135235,35000000000,118784,claimRewards
run-097,0xbf369db9d5aed4dd811fd4278d909058227e79307de71092cccf73fc6367c0ad,2025-06-29T23:02:56+00:00,2025-06-29T23:02:57.198200+00:00,1198.2,failed,40537,37000000000,112895,claimRewards
run-097,0xe0ba6c6502fea91aa890e67c6bfb71258c62dd88f557e0faab2cebb1a1e0437b,2025-06-29T22:57:55+00:00,2025-06-29T22:57:55.416400+00:00,416.4,success,31844,46000000000,110364,claimRewards
run-097,0xa07107dacc93ca61abd54c3683089c0e726de1fdf014726894df86ce396bd0ce,2025-06-29T23:01:58+00:00,2025-06-29T23:01:58.500700+00:00,500.7,success,21227,42000000000,111405,claimRewards
run-097,0x0f358027cc6b92ad3e6d4a7945e11d88ccbceb58a5649eda773bef55e47b1740,2025-06-29T23:02:45+00:00,2025-06-29T23:02:46.371500+00:00,1371.5,success,48729,53000000000,111362,claimRewards
run-097,0x509b0da4925c6146c7895ebea30cb18e821644b6c17656224ff081b533b6f943,2025-06-29T23:04:05+00:00,2025-06-29T23:04:05.487100+00:00,487.1,success,26695,48000000000,112233,claimRewards
run-097,0x76b6df6833d26804e99349c2d363ab75a50a750a0319e051e1618bbaae5565dd,2025-06-29T23:03:36+00:00,2025-06-29T23:03:37.402500+00:00,1402.5,failed,36685,45000000000,113848,claimRewards
run-097,0xdba036857fbf28740fefbb201c6c2b6c4f2c10f2f32aab609b4be9be7cb50159,2025-06-29T22:59:28+00:00,2025-06-29T22:59:28.499300+00:00,499.3,success,41735,36000000000,106194,claimRewards
run-097,0x909692ac6fbc0512e94dd028fb3539c734c0003e626e8d4de10f0a0b13612191,2025-06-29T22:58:45+00:00,2025-06-29T22:58:45.456600+00:00,456.6,success,33050,51000000000,113786,claimRewards
run-097,0x8c8df68815eb02673cbd78c6d7722328554062d84522acbb7adbcfe11bcd1187,2025-06-29T23:04:50+00:00,2025-06-29T23:04:50.996900+00:00,996.9,success,47276,43000000000,107739,claimRewards
run-097,0xe5605b5325b6d69aca12be271de519dcde9b69dea5caa1c1ec6230ba85522f36,2025-06-29T23:00:46+00:00,2025-06-29T23:00:47.548100+00:00,1548.1,success,146909,37000000000,117506,claimRewards
run-097,0x9544f5ed16d1c509186832db7b99e372541133e6848dc5c7c1e0918de369a1a2,2025-06-29T23:02:26+00:00,2025-06-29T23:02:27.047599999+00:00,1047.6,success,131717,26000000000,114091,claimRewards
run-097,0x29c8b2179a05bdac7a6c6ba091d826bda064c851aca9257d8391ad859f9e7745,2025-06-29T23:05:34+00:00,2025-06-29T23:05:34.937400+00:00,937.4,success,44046,18000000000,107776,claimRewards
run-097,0x4656cf7d2496d8a89c6edc3f9ed55aebeea89f12c610b5e7a34cc81101001ddf,2025-06-29T22:58:07+00:00,2025-06-29T22:58:08.122900+00:00,1122.9,success,95986,26000000000,119400,claimRewards
run-097,0xa8a3d32e52c099aa667d15697f9136fba09dd36935991316c9c98e27a72e865e,2025-06-29T23:03:42+00:00,2025-06-29T23:03:43.102800+00:00,1102.8,success,82216,15000000000,103513,claimRewards
run-097,0x5e344c1e52fdecc11a08068e51afdd8c6c4b328d9d27cd1c5f199a4ac7b77e7b,2025-06-29T23:00:51+00:00,2025-06-29T23:00:52.064400+00:00,1064.4,failed,139734,20000000000,106555,claimRewards
run-098,0x018d361c62bfc60fff2d9f05af3fc28c30463b74c40d09ffa2eb330e7f559e36,2025-06-29T23:05:53+00:00,2025-06-29T23:05:54.284300+00:00,1284.3,success,149445,36000000000,110244,claimRewards
run-098,0xffabe7cd3921781fb3a3c143f0fcc90b0e8b05a2c4386fd0b4408bb8656ef827,2025-06-29T23:10:45+00:00,2025-06-29T23:10:45.457000+00:00,457.0,success,27196,23000000000,104935,claimRewards
run-098,0xe604bb915f1a59799e8132bc46c22eb52df0b1560b1797c0941c32d947006d14,2025-06-29T23:06:41+00:00,2025-06-29T23:06:42.200900+00:00,1200.9,success,85309,42000000000,118747,claimRewards
run-098,0xe21fe8f105e63b203e6a2aee81dad882b2624dc367a47a073281c26afb3c8319,2025-06-29T23:06:11+00:00,2025-06-29T23:06:12.005300+00:00,1005.3,success,145024,44000000000,119509,claimRewards
run-098,0x5a71cc434283a60d3c2ff08e63c13a013b32688b3e28ed7f98f2f9ee9db24b38,2025-06-29T23:10:30+00:00,2025-06-29T23:10:30.898200+00:00,898.2,success,119797,16000000000,104058,claimRewards
run-098,0xac0603d92cdf6c85496a01e63d1d0d3c4be61ea025c3f6ba9efc0a12aa69a29c,2025-06-29T23:10:12+00:00,2025-06-29T23:10:13.207000+00:00,1207.0,success,124260,45000000000,114054,claimRewards
run-098,0x400e3a670cf6208a0ff9b8a348613a5b0f6a3fb5c1bda2ffe0adf0f44eade482,2025-06-29T23:11:47+00:00,2025-06-29T23:11:48.203100+00:00,1203.1,success,81011,34000000000,113175,claimRewards
