finding_id,timestamp,network,contract,file,line_start,line_end,swc_id,title,severity,confidence,status,remediation,commit_hash
aef30fd0-7139-4b56-83bd-892cdc289fd8,2023-01-25T12:11:15,dummy_14,dummy_66,dummy_831,dummy_744,dummy_815,ed299615-c092-4d75-8f31-05394f4032d9,dummy_192,dummy_283,fe32cb62-de79-4b51-83d7-fdfae9735fd3,fail,dummy_420,dummy_220
46a2bedc-12c9-4e29-8a2c-871e8f960a0c,2020-12-11T14:04:45,dummy_523,dummy_240,dummy_426,dummy_338,dummy_900,01684d9e-d5f4-47e0-ade3-a70ee4ea3aa0,dummy_584,dummy_73,a3f31278-4b90-4ee4-99f5-30fc3720268c,fail,dummy_967,dummy_622
53ddb8a3-2d7d-4fb7-934c-649993e842d4,2025-06-12T02:34:00,dummy_184,dummy_977,dummy_512,dummy_45,dummy_369,51bc2203-24f7-4ec9-b971-5d1f713944a4,dummy_483,dummy_725,a6ea7c4a-ae54-48a7-9952-81cb4f6197d6,fail,dummy_66,dummy_346
182dc431-ed6c-4daa-a889-5779a76411ac,2023-03-24T01:57:13,dummy_257,dummy_487,dummy_779,dummy_739,dummy_869,69c58b0d-134c-44e8-a34b-64e6e6a9a984,dummy_98,dummy_26,2265e1f5-6afa-4da6-9b3e-eeafc08ee9e4,fail,dummy_995,dummy_987
cb2e8ed2-6dc7-4cda-9913-00bad75893a6,2020-05-24T22:56:06,dummy_344,dummy_143,dummy_87,dummy_792,dummy_650,d7e3211a-dcbd-4348-a9ae-1dc91f019f3b,dummy_515,dummy_526,1b0bc32f-6343-4e13-a87c-ba0c7d9214f2,warn,dummy_940,dummy_774
b029ad34-c878-4ad0-baa9-969d69313cc6,2022-07-13T03:27:06,dummy_346,dummy_972,dummy_254,dummy_969,dummy_417,de32686d-1cab-477a-a615-70a57c78e800,dummy_50,dummy_703,f72d8443-1f5b-44d2-b7c1-564df773f2e4,fail,dummy_14,dummy_622
8e7e09f0-74a6-4a3c-9a5d-f87bd90afac3,2020-12-04T01:03:33,dummy_279,dummy_693,dummy_70,dummy_193,dummy_995,351fdd96-dee3-42d0-94cf-730d77ae2bf4,dummy_738,dummy_132,9110909f-ec87-4a49-842c-322b7226b1a7,pass,dummy_740,dummy_367
a6bd935f-4dfe-4e64-b43c-615c3bf19a3c,2023-08-19T07:08:08,dummy_925,dummy_775,dummy_910,dummy_949,dummy_150,277c49bf-9031-4085-a735-dc57259c2729,dummy_345,dummy_772,f411f288-4186-4e17-a9ca-910c4c03de3f,fail,dummy_799,dummy_538
fbf01bbd-9bfd-4782-9ee7-41a6514ba5cb,2025-05-09T20:33:39,dummy_959,dummy_581,dummy_39,dummy_402,dummy_635,ef3e733f-8624-495b-8519-ab0a80b14b5e,dummy_136,dummy_59,b4eae816-2929-487f-82cb-3d2bcbca9357,warn,dummy_446,dummy_285
e0c88836-c7c6-49a0-8632-8cfa439e701e,2025-06-20T01:15:42,dummy_22,dummy_202,dummy_206,dummy_205,dummy_848,cd2c7eda-db74-4564-9cda-8b60ce7752cc,dummy_917,dummy_944,9ec4bf46-50c0-4a1e-81e3-1b861301a2d3,pass,dummy_577,dummy_462
6f175a8d-1b46-4ddd-bd6a-befa63c52f0b,2021-12-19T17:50:42,dummy_622,dummy_306,dummy_716,dummy_359,dummy_855,6212a881-3533-4689-8361-47c761c02b52,dummy_803,dummy_683,bc589551-a5a9-4f8e-83b3-783b4e7c4a5e,pass,dummy_132,dummy_620
fbf61e2f-a5cb-400a-8c47-cb3ab6828a1f,2022-08-25T20:29:00,dummy_617,dummy_639,dummy_32,dummy_522,dummy_789,22a5d925-ab90-4182-a513-3f1b691de3f7,dummy_439,dummy_929,c2fa98aa-b0db-477b-8801-47cd1105a01d,pass,dummy_207,dummy_98
27af53cc-08c6-4529-a3b3-09577c8bfd8c,2023-12-26T07:10:22,dummy_589,dummy_82,dummy_392,dummy_706,dummy_125,48b2f339-2d01-465d-90c3-46431fe042a4,dummy_906,dummy_4,b3ea937b-a418-4c51-bd7c-b1eb0306dc25,warn,dummy_520,dummy_424
56f497bf-2e1e-485b-90fb-e2ad69b4214a,2020-12-10T00:39:24,dummy_929,dummy_52,dummy_289,dummy_793,dummy_915,bab84eb8-e0ac-4019-99aa-b2752c590580,dummy_188,dummy_593,638e0aa3-9d42-434b-ae42-588a8ea4f256,warn,dummy_950,dummy_437
cbe056e5-e575-4de5-8ad1-1c7c18eded9b,2023-10-13T17:11:15,dummy_10,dummy_863,dummy_604,dummy_220,dummy_168,8760c5dc-5573-42a2-8606-c83f141a591d,dummy_874,dummy_858,050544ba-ee96-4973-92de-a69193c925f3,fail,dummy_380,dummy_354
194bbf5b-a2a5-435c-b49b-77a7ed77011b,2021-11-27T13:20:50,dummy_618,dummy_176,dummy_66,dummy_694,dummy_61,9844e253-ffb4-477a-82b4-926dd23c22a6,dummy_228,dummy_405,11c19a31-6c42-4970-9969-a0de4c0cb9c7,pass,dummy_522,dummy_620
8c02fe23-3acf-43e8-ab28-524b201e082f,2023-06-05T20:29:57,dummy_174,dummy_370,dummy_874,dummy_339,dummy_949,da91b03b-b88d-4e45-adae-bf540639ee0a,dummy_114,dummy_967,4fbdf881-d85b-4d26-9e10-5292f1dc5f97,warn,dummy_490,dummy_144
4ce8c31a-0f64-4af0-9e25-92f89938fb75,2020-06-11T22:34:24,dummy_10,dummy_244,dummy_697,dummy_214,dummy_791,1563ef85-891e-40ef-972b-fe16464bc054,dummy_988,dummy_985,b0993148-6a25-4e12-9354-b265c8c2f6ec,pass,dummy_166,dummy_412
40e324dd-47b2-4564-9818-5da51fd30050,2023-11-26T01:18:33,dummy_376,dummy_737,dummy_566,dummy_381,dummy_352,08a90343-addf-4fc4-bbc0-d27976c28d3a,dummy_1000,dummy_413,59028c5b-3ee6-44c0-8d38-77eb2ece6a22,fail,dummy_55,dummy_681
a68900ab-8d5a-4800-8521-ffe8cd8b491e,2022-10-05T17:46:49,dummy_551,dummy_716,dummy_867,dummy_747,dummy_660,243e3b5f-594d-4e57-8065-0d88c988e6aa,dummy_528,dummy_875,70aafb4a-ec94-4780-a335-4825a18d64a0,warn,dummy_851,dummy_624
1c142e8f-2c18-4f49-aadc-661496fd32fc,2024-06-06T05:40:45,dummy_530,dummy_338,dummy_127,dummy_150,dummy_558,b0115208-25db-4a90-9849-8f0596ff952d,dummy_208,dummy_274,77b43d9b-bc6e-43b6-b540-b90cb6b22285,fail,dummy_517,dummy_96
90e9292d-73ca-4f7b-942e-5e250b5f46df,2023-09-13T21:40:38,dummy_268,dummy_118,dummy_828,dummy_434,dummy_16,7d6fb5a6-22fc-4f45-bb06-460952e3e55e,dummy_672,dummy_64,1e971f7a-b345-41f1-8693-023befb46dcd,pass,dummy_878,dummy_901
3959be89-7ff6-4438-9ecc-85a3adb24b1a,2024-06-06T04:30:24,dummy_800,dummy_303,dummy_134,dummy_461,dummy_940,36801f5b-73fe-4eeb-a65d-bdfd268053c8,dummy_259,dummy_809,155a6c02-b3fe-4d23-a5d1-94669fea731b,warn,dummy_507,dummy_302
